id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
19525,option,100,172.0,162.15,-1014.9999999999994,2021-12-22 06:30:01.160289+00:00,2021-12-22 06:50:03.351986+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
19526,option,100,172.0,161.0,-1130.0,2021-12-22 06:30:01.014624+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19528,option,25,487.6,392.3,-2412.5000000000005,2021-12-22 06:30:03.497054+00:00,2021-12-22 07:50:01.250945+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19529,option,100,180.65,161.0,-1995.0000000000005,2021-12-22 06:35:00.771611+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19530,option,25,512.65,392.3,-3038.749999999999,2021-12-22 06:35:02.061018+00:00,2021-12-22 07:50:01.250945+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19532,option,25,498.9,392.3,-2694.999999999999,2021-12-22 06:40:02.313252+00:00,2021-12-22 07:50:03.044280+00:00,34500,ce,1,BankNifty Pyramiding_1,BANKNIFTY
19533,option,25,498.9,392.3,-2694.999999999999,2021-12-22 06:40:02.129366+00:00,2021-12-22 07:50:01.250945+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19534,option,25,498.0,471.8,-684.9999999999998,2021-12-22 06:40:03.919504+00:00,2021-12-22 07:40:02.266147+00:00,34500,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19536,option,100,176.3,161.0,-1560.0000000000011,2021-12-22 06:40:04.554699+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19537,option,100,176.3,162.15,-1445.0000000000005,2021-12-22 06:40:04.631675+00:00,2021-12-22 06:50:03.351986+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
